Aserbaidschanisch,Deutsch,Aussprache,Wortart,Thema
gün,Tag,gʏn,Substantiv,Alltag
ev,Haus,ev,Substantiv,Alltag
su,Wasser,su,Substantiv,Alltag
günortası,Nachmittag,gʏnɔrtɑsɯ,Substantiv,Alltag
saat,Uhr,saːt,Substantiv,Alltag
dost,Freund,dost,Substantiv,Alltag
kitab,Buch,kitɑb,Substantiv,Alltag
pəncə,Fenster,pɛnˈd͡ʒɛ,Substantiv,Alltag
otaq,Zimmer,otaq,Substantiv,Alltag
masa,Tisch,mɑsɑ,Substantiv,Alltag
çay,Tee,t͡ʃaj,Substantiv,Essen
çörək,Brot,t͡ʃøːrɛk,Substantiv,Essen
ət,Fleisch,æt,Substantiv,Essen
meyvə,Obst,meɪvɑ,Substantiv,Essen
tərəvəz,Gemüse,tɛrɛvɛz,Substantiv,Essen
yemək,Essen,jɛmɛk,Substantiv,Essen
suşi,Sushi,suʃi,Substantiv,Essen
mətbəx,Küche,mætˈbæx,Substantiv,Essen
desert,Dessert,dɛzɛrt,Substantiv,Essen
düyü,Reis,dyiː,Substantiv,Essen
bilet,Ticket,bilet,Substantiv,Reisen
təyyarə,Flugzeug,tɛjɑːrɑ,Substantiv,Reisen
oteldə,im Hotel,otɛldɛ,Substantiv,Reisen
gəzmək,reisen,ɡɛzmɛk,Verb,Reisen
xəritə,Karte,xɛritæ,Substantiv,Reisen
avtobus,Bus,avtobus,Substantiv,Reisen
stansiya,Bahnhof,stɑnsiɑ,Substantiv,Reisen
səfər,Reise,sæfær,Substantiv,Reisen
şəhər,Stadt,ʃæhær,Substantiv,Reisen
dalmış,Abenteuer,dɑlmɯʃ,Substantiv,Reisen
it,Hund,it,Substantiv,Tiere
pisiq,Katze,pisiq,Substantiv,Tiere
quş,Vogel,quʃ,Substantiv,Tiere
at,Pferd,ɑt,Substantiv,Tiere
insect,Insekt,ɪnʃɛkt,Substantiv,Tiere
fish,Fisch,fɪʃ,Substantiv,Tiere
çöl,Wildnis,t͡ʃœl,Substantiv,Tiere
tülkü,Fuchs,tʏlky,Substantiv,Tiere
qoyun,Schaf,qoyun,Substantiv,Tiere
tülkü,Fuchs,tʏlky,Substantiv,Tiere
müəllim,Lehrer,mʏəˈlːim,Substantiv,Bildung
tələbə,Student,tələbæ,Substantiv,Bildung
kitabxana,Bibliothek,kitɑbxɑnɑ,Substantiv,Bildung
sınav,Prüfung,sɨnɑv,Substantiv,Bildung
fən,Fach,fæn,Substantiv,Bildung
məktəb,Schule,mɛktɛb,Substantiv,Bildung
diplom,Diplom,diplom,Substantiv,Bildung
tədris,Unterricht,tædris,Substantiv,Bildung
təhsil,Bildung,tæhsil,Substantiv,Bildung
nüfuz,Einfluss,nüfuz,Substantiv,Bildung
etmək,machen,Verben
gedmək,gehen,Verben
gəlmək,kommen,Verben
olmaq,sein,Verben
bilmək,wissen,Verben
sevmək,lieben,Verben
görmək,sehen,Verben
demək,sagen,Verben
düşünmək,denken,Verben
istifadə etmək,benutzen,Verben
çalışmaq,arbeiten,Verben
yaşamaq,leben,Verben
duymak,fühlen,Verben
oxumaq,lesen,Verben
yazmaq,schreiben,Verben
dinləmək,hören,Verben
oynamaq,spielen,Verben
satmaq,verkaufen,Verben
almamaq,nicht nehmen,Verben
söylemək,sprechen,Verben
